LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,1,96,1.0%
BASSI BOITANGARE,1,152,0.7%
BASSI BORABU,6,158,3.7%
BASSI CENTRAL,6,221,2.6%
BASSI CHACHE,2,182,1.1%
BASSI MASIGE EAST,5,174,2.8%
BASSI MASIGE WEST,38,161,19.1%
BOGEKA,3,140,2.1%
BOGIAKUMU,12,245,4.7%
BOGUSERO NORTH,32,120,21.1%
BOGUSERO SOUTH,2,139,1.4%
BOMARIBA,8,176,4.3%
BOMORENDA,11,212,4.9%
BOOCHI BORABU,6,151,3.8%
BOSONGO,61,309,16.5%
CHITAGO,7,146,4.6%
GESUSU,6,176,3.3%
GETENGA,1,139,0.7%
GIONSARIA,,81,-
IBENO,9,176,4.9%
IKORONGO,6,136,4.2%
IYABE,8,165,4.6%
KEGATI,3,156,1.9%
KEGOGI,1,149,0.7%
KEUMBU,9,272,3.2%
KIOGORO,7,191,3.5%
MAGENCHE,9,312,2.8%
MAJOGE BORABU,10,221,4.3%
MAJOGE CHACHE,8,231,3.3%
MAJOGE MASABA,12,283,4.1%
MOGONGA,1,33,2.9%
MOKWERERO,2,91,2.2%
MWAGICHANA,6,157,3.7%
MWAKIBAGENDI,2,123,1.6%
MWAMONARI,2,69,2.8%
NGENYI,7,245,2.8%
NORTH MASABA,11,200,5.2%
NYACHEKI,23,100,18.7%
NYAKEMBENE,8,167,4.6%
NYAKOE,8,145,5.2%
NYAMAGESA,7,169,4.0%
NYANGITI,,59,-
NYANGURU,,44,-
NYANSAKIA,,73,-
NYARIBARI CENTRAL,9,79,10.2%
NYARIBARI IRIANYI,4,140,2.8%
NYATIEKO,4,184,2.1%
OTENDO,3,92,3.2%
RAMASHA,4,96,4.0%
RIANA,1,182,0.5%
RIGENA,1,99,1.0%
SENGERA,4,267,1.5%
SENSI,1,53,1.9%
SOUTH MUGIRANGO BORABU,8,185,4.1%
SOUTH MUGIRANGO CENTRAL,5,193,2.5%
SOUTH MUGIRANGO CHACHE,11,275,3.8%
TENDERE,20,242,7.6%
TOWNSHIP,149,319,31.8%
Total,591,9551,5.8%
