LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,16,73,18.0%
BASSI BOITANGARE,46,100,31.5%
BASSI BORABU,1,152,0.7%
BASSI CENTRAL,18,206,8.0%
BASSI CHACHE,13,154,7.8%
BASSI MASIGE EAST,28,141,16.6%
BASSI MASIGE WEST,9,180,4.8%
BOGEKA,9,133,6.3%
BOGIAKUMU,7,233,2.9%
BOGUSERO NORTH,5,143,3.4%
BOGUSERO SOUTH,10,122,7.6%
BOMARIBA,18,152,10.6%
BOMORENDA,10,177,5.3%
BOOCHI BORABU,2,154,1.3%
BOSONGO,10,335,2.9%
CHITAGO,10,138,6.8%
GESUSU,5,167,2.9%
GETENGA,9,127,6.6%
GIONSARIA,4,68,5.6%
IBENO,22,152,12.6%
IKORONGO,1,127,0.8%
IYABE,14,142,9.0%
KEGATI,,151,-
KEGOGI,13,127,9.3%
KEUMBU,5,264,1.9%
KIOGORO,7,184,3.7%
MAGENCHE,21,277,7.0%
MAJOGE BORABU,11,208,5.0%
MAJOGE CHACHE,16,207,7.2%
MAJOGE MASABA,20,242,7.6%
MOGONGA,,32,-
MOKWERERO,4,88,4.3%
MWAGICHANA,1,158,0.6%
MWAKIBAGENDI,8,106,7.0%
MWAMONARI,2,65,3.0%
NGENYI,20,212,8.6%
NORTH MASABA,6,195,3.0%
NYACHEKI,9,111,7.5%
NYAKEMBENE,6,164,3.5%
NYAKOE,14,130,9.7%
NYAMAGESA,3,159,1.9%
NYANGITI,,58,-
NYANGURU,1,42,2.3%
NYANSAKIA,8,61,11.6%
NYARIBARI CENTRAL,6,78,7.1%
NYARIBARI IRIANYI,4,128,3.0%
NYATIEKO,6,166,3.5%
OTENDO,3,87,3.3%
RAMASHA,,97,-
RIANA,10,158,6.0%
RIGENA,15,72,17.2%
SENGERA,15,245,5.8%
SENSI,2,49,3.9%
SOUTH MUGIRANGO BORABU,10,172,5.5%
SOUTH MUGIRANGO CENTRAL,8,181,4.2%
SOUTH MUGIRANGO CHACHE,7,266,2.6%
TENDERE,37,206,15.2%
TOWNSHIP,151,271,35.8%
Total,716,8793,7.5%
