LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,54,35,60.7%
BASSI BOITANGARE,105,41,71.9%
BASSI BORABU,41,112,26.8%
BASSI CENTRAL,76,148,33.9%
BASSI CHACHE,54,113,32.3%
BASSI MASIGE EAST,60,109,35.5%
BASSI MASIGE WEST,77,112,40.7%
BOGEKA,56,86,39.4%
BOGIAKUMU,54,186,22.5%
BOGUSERO NORTH,37,111,25.0%
BOGUSERO SOUTH,47,85,35.6%
BOMARIBA,36,134,21.2%
BOMORENDA,80,107,42.8%
BOOCHI BORABU,22,134,14.1%
BOSONGO,137,208,39.7%
CHITAGO,33,115,22.3%
GESUSU,55,117,32.0%
GETENGA,27,109,19.9%
GIONSARIA,38,34,52.8%
IBENO,82,92,47.1%
IKORONGO,40,88,31.2%
IYABE,42,114,26.9%
KEGATI,19,132,12.6%
KEGOGI,52,88,37.1%
KEUMBU,67,202,24.9%
KIOGORO,48,143,25.1%
MAGENCHE,110,188,36.9%
MAJOGE BORABU,54,165,24.7%
MAJOGE CHACHE,72,151,32.3%
MAJOGE MASABA,73,189,27.9%
MOGONGA,11,21,34.4%
MOKWERERO,25,67,27.2%
MWAGICHANA,43,116,27.0%
MWAKIBAGENDI,29,85,25.4%
MWAMONARI,15,52,22.4%
NGENYI,79,153,34.1%
NORTH MASABA,57,144,28.4%
NYACHEKI,46,74,38.3%
NYAKEMBENE,48,122,28.2%
NYAKOE,39,105,27.1%
NYAMAGESA,49,113,30.2%
NYANGITI,17,41,29.3%
NYANGURU,18,25,41.9%
NYANSAKIA,16,53,23.2%
NYARIBARI CENTRAL,21,63,25.0%
NYARIBARI IRIANYI,35,97,26.5%
NYATIEKO,33,139,19.2%
OTENDO,39,51,43.3%
RAMASHA,25,72,25.8%
RIANA,52,116,31.0%
RIGENA,47,40,54.0%
SENGERA,95,165,36.5%
SENSI,11,40,21.6%
SOUTH MUGIRANGO BORABU,58,124,31.9%
SOUTH MUGIRANGO CENTRAL,59,130,31.2%
SOUTH MUGIRANGO CHACHE,54,219,19.8%
TENDERE,124,119,51.0%
TOWNSHIP,185,237,43.8%
Total,3078,6431,32.4%
