LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,3,86,3.4%
BASSI BOITANGARE,8,138,5.5%
BASSI BORABU,,153,-
BASSI CENTRAL,8,216,3.6%
BASSI CHACHE,5,162,3.0%
BASSI MASIGE EAST,22,147,13.0%
BASSI MASIGE WEST,3,186,1.6%
BOGEKA,4,138,2.8%
BOGIAKUMU,2,238,0.8%
BOGUSERO NORTH,1,147,0.7%
BOGUSERO SOUTH,,132,-
BOMARIBA,9,161,5.3%
BOMORENDA,4,183,2.1%
BOOCHI BORABU,,156,-
BOSONGO,1,343,0.3%
CHITAGO,,148,-
GESUSU,1,171,0.6%
GETENGA,2,134,1.5%
GIONSARIA,1,71,1.4%
IBENO,17,157,9.8%
IKORONGO,1,127,0.8%
IYABE,9,147,5.8%
KEGATI,,151,-
KEGOGI,5,135,3.6%
KEUMBU,,269,-
KIOGORO,4,187,2.1%
MAGENCHE,13,285,4.4%
MAJOGE BORABU,,219,-
MAJOGE CHACHE,8,215,3.6%
MAJOGE MASABA,5,257,1.9%
MOGONGA,,32,-
MOKWERERO,1,91,1.1%
MWAGICHANA,,159,-
MWAKIBAGENDI,3,111,2.6%
MWAMONARI,,67,-
NGENYI,14,218,6.0%
NORTH MASABA,1,200,0.5%
NYACHEKI,5,115,4.2%
NYAKEMBENE,,170,-
NYAKOE,9,135,6.2%
NYAMAGESA,1,161,0.6%
NYANGITI,,58,-
NYANGURU,,43,-
NYANSAKIA,,69,-
NYARIBARI CENTRAL,2,82,2.4%
NYARIBARI IRIANYI,,132,-
NYATIEKO,1,171,0.6%
OTENDO,1,89,1.1%
RAMASHA,,97,-
RIANA,6,162,3.6%
RIGENA,9,78,10.3%
SENGERA,8,252,3.1%
SENSI,1,50,2.0%
SOUTH MUGIRANGO BORABU,3,179,1.6%
SOUTH MUGIRANGO CENTRAL,1,188,0.5%
SOUTH MUGIRANGO CHACHE,1,272,0.4%
TENDERE,26,217,10.7%
TOWNSHIP,112,310,26.5%
Total,341,9167,3.6%
