LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,85,12,87.6%
BASSI BOITANGARE,45,108,29.4%
BASSI BORABU,112,52,68.3%
BASSI CENTRAL,104,123,45.8%
BASSI CHACHE,104,80,56.5%
BASSI MASIGE EAST,48,131,26.8%
BASSI MASIGE WEST,52,147,26.1%
BOGEKA,70,73,49.0%
BOGIAKUMU,163,94,63.4%
BOGUSERO NORTH,93,59,61.2%
BOGUSERO SOUTH,73,68,51.8%
BOMARIBA,96,88,52.2%
BOMORENDA,124,99,55.6%
BOOCHI BORABU,89,68,56.7%
BOSONGO,91,279,24.6%
CHITAGO,84,69,54.9%
GESUSU,87,95,47.8%
GETENGA,70,70,50.0%
GIONSARIA,51,30,63.0%
IBENO,64,121,34.6%
IKORONGO,56,86,39.4%
IYABE,75,98,43.4%
KEGATI,89,70,56.0%
KEGOGI,59,91,39.3%
KEUMBU,164,117,58.4%
KIOGORO,113,85,57.1%
MAGENCHE,174,147,54.2%
MAJOGE BORABU,95,136,41.1%
MAJOGE CHACHE,142,97,59.4%
MAJOGE MASABA,36,259,12.2%
MOGONGA,25,9,73.5%
MOKWERERO,18,75,19.4%
MWAGICHANA,60,103,36.8%
MWAKIBAGENDI,43,82,34.4%
MWAMONARI,43,28,60.6%
NGENYI,150,102,59.5%
NORTH MASABA,127,84,60.2%
NYACHEKI,37,86,30.1%
NYAKEMBENE,74,101,42.3%
NYAKOE,94,59,61.4%
NYAMAGESA,79,97,44.9%
NYANGITI,35,24,59.3%
NYANGURU,22,22,50.0%
NYANSAKIA,36,37,49.3%
NYARIBARI CENTRAL,56,32,63.6%
NYARIBARI IRIANYI,45,99,31.2%
NYATIEKO,100,88,53.2%
OTENDO,53,42,55.8%
RAMASHA,37,63,37.0%
RIANA,140,43,76.5%
RIGENA,42,58,42.0%
SENGERA,141,130,52.0%
SENSI,38,16,70.4%
SOUTH MUGIRANGO BORABU,115,78,59.6%
SOUTH MUGIRANGO CENTRAL,102,96,51.5%
SOUTH MUGIRANGO CHACHE,125,161,43.7%
TENDERE,113,149,43.1%
TOWNSHIP,176,293,37.5%
Total,4834,5309,47.7%
