LocationName,TRUE,FALSE,Total
BASSI BOGETAORIO,18,,-
BASSI BOITANGARE,33,,-
BASSI BORABU,64,,-
BASSI CENTRAL,79,,-
BASSI CHACHE,75,,-
BASSI MASIGE EAST,76,,-
BASSI MASIGE WEST,94,,-
BOGEKA,58,,-
BOGIAKUMU,102,,-
BOGUSERO NORTH,57,,-
BOGUSERO SOUTH,49,,-
BOMARIBA,64,,-
BOMORENDA,43,,-
BOOCHI BORABU,84,,-
BOSONGO,167,,-
CHITAGO,79,,-
GESUSU,93,,-
GETENGA,76,,-
GIONSARIA,28,,-
IBENO,61,,-
IKORONGO,70,,-
IYABE,69,,-
KEGATI,76,,-
KEGOGI,46,,-
KEUMBU,130,,-
KIOGORO,75,,-
MAGENCHE,151,,-
MAJOGE BORABU,135,,-
MAJOGE CHACHE,100,,-
MAJOGE MASABA,142,,-
MOGONGA,14,,-
MOKWERERO,42,,-
MWAGICHANA,71,,-
MWAKIBAGENDI,40,,-
MWAMONARI,40,,-
NGENYI,93,,-
NORTH MASABA,109,,-
NYACHEKI,40,,-
NYAKEMBENE,84,,-
NYAKOE,56,,-
NYAMAGESA,81,,-
NYANGITI,12,,-
NYANGURU,20,,-
NYANSAKIA,36,,-
NYARIBARI CENTRAL,37,,-
NYARIBARI IRIANYI,70,,-
NYATIEKO,96,,-
OTENDO,38,,-
RAMASHA,57,1,1.7%
RIANA,76,,-
RIGENA,12,,-
SENGERA,115,,-
SENSI,21,,-
SOUTH MUGIRANGO BORABU,85,,-
SOUTH MUGIRANGO CENTRAL,104,,-
SOUTH MUGIRANGO CHACHE,123,,-
TENDERE,56,,-
TOWNSHIP,110,,-
Total,4132,1,0.0%
