LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,3,,100.0%
BASSI BOITANGARE,,2,-
BASSI BORABU,6,,100.0%
BASSI CENTRAL,3,,100.0%
BASSI CHACHE,6,16,27.3%
BASSI MASIGE EAST,6,7,46.2%
BASSI MASIGE WEST,4,4,50.0%
BOGIAKUMU,5,5,50.0%
BOGUSERO NORTH,2,,100.0%
BOGUSERO SOUTH,4,2,66.7%
BOMARIBA,,2,-
BOMORENDA,4,1,80.0%
BOOCHI BORABU,8,2,80.0%
BOSONGO,17,13,56.7%
CHITAGO,4,2,66.7%
GESUSU,2,2,50.0%
GETENGA,,5,-
IKORONGO,,2,-
IYABE,2,4,33.3%
KEGATI,2,6,25.0%
KEGOGI,2,2,50.0%
KEUMBU,8,12,40.0%
KIOGORO,,4,-
MAGENCHE,3,8,27.3%
MAJOGE BORABU,,6,-
MAJOGE CHACHE,11,,100.0%
MAJOGE MASABA,14,6,70.0%
MOGONGA,2,,100.0%
MWAGICHANA,2,,100.0%
MWAKIBAGENDI,1,,100.0%
MWAMONARI,18,4,81.8%
NGENYI,2,2,50.0%
NORTH MASABA,12,11,52.2%
NYACHEKI,10,,100.0%
NYAKEMBENE,2,1,66.7%
NYAKOE,1,2,33.3%
NYAMAGESA,1,4,20.0%
NYANGITI,1,4,20.0%
NYARIBARI CENTRAL,1,,100.0%
NYARIBARI IRIANYI,6,,100.0%
NYATIEKO,9,,100.0%
OTENDO,2,,100.0%
RIANA,1,2,33.3%
RIGENA,1,,100.0%
SENGERA,4,2,66.7%
SOUTH MUGIRANGO BORABU,,2,-
SOUTH MUGIRANGO CENTRAL,2,2,50.0%
SOUTH MUGIRANGO CHACHE,5,7,41.7%
TENDERE,15,1,93.8%
TOWNSHIP,3,3,50.0%
Total,217,160,57.6%
