LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,14,32,30.4%
BASSI BOITANGARE,6,102,5.6%
BASSI BORABU,31,93,25.0%
BASSI CENTRAL,49,124,28.3%
BASSI CHACHE,30,95,24.0%
BASSI MASIGE EAST,14,103,12.0%
BASSI MASIGE WEST,24,121,16.6%
BOGEKA,11,109,9.2%
BOGIAKUMU,47,125,27.3%
BOGUSERO NORTH,19,93,17.0%
BOGUSERO SOUTH,8,91,8.1%
BOMARIBA,16,109,12.8%
BOMORENDA,10,74,11.9%
BOOCHI BORABU,20,103,16.3%
BOSONGO,36,237,13.2%
CHITAGO,26,98,21.0%
GESUSU,26,99,20.8%
GETENGA,24,94,20.3%
GIONSARIA,14,41,25.5%
IBENO,18,106,14.5%
IKORONGO,34,66,34.0%
IYABE,24,94,20.3%
KEGATI,20,111,15.3%
KEGOGI,28,66,29.8%
KEUMBU,59,153,27.8%
KIOGORO,32,115,21.8%
MAGENCHE,36,199,15.3%
MAJOGE BORABU,37,138,21.1%
MAJOGE CHACHE,18,159,10.2%
MAJOGE MASABA,41,163,20.1%
MOGONGA,6,15,28.6%
MOKWERERO,10,67,13.0%
MWAGICHANA,13,92,12.4%
MWAKIBAGENDI,22,49,31.0%
MWAMONARI,5,47,9.6%
NGENYI,19,154,11.0%
NORTH MASABA,26,131,16.6%
NYACHEKI,8,83,8.8%
NYAKEMBENE,27,119,18.5%
NYAKOE,18,76,19.1%
NYAMAGESA,9,128,6.6%
NYANGITI,3,33,8.3%
NYANGURU,3,27,10.0%
NYANSAKIA,2,48,4.0%
NYARIBARI CENTRAL,12,51,19.0%
NYARIBARI IRIANYI,12,88,12.0%
NYATIEKO,24,100,19.4%
OTENDO,12,51,19.0%
RAMASHA,11,65,14.5%
RIANA,25,95,20.8%
RIGENA,3,45,6.2%
SENGERA,24,177,11.9%
SENSI,3,37,7.5%
SOUTH MUGIRANGO BORABU,14,118,10.6%
SOUTH MUGIRANGO CENTRAL,31,133,18.9%
SOUTH MUGIRANGO CHACHE,18,178,9.2%
TENDERE,10,132,7.0%
TOWNSHIP,26,201,11.5%
Total,1168,5853,16.6%
