LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,23,74,23.7%
BASSI BOITANGARE,12,141,7.8%
BASSI BORABU,25,139,15.2%
BASSI CENTRAL,65,162,28.6%
BASSI CHACHE,34,150,18.5%
BASSI MASIGE EAST,28,151,15.6%
BASSI MASIGE WEST,56,143,28.1%
BOGEKA,17,126,11.9%
BOGIAKUMU,3,254,1.2%
BOGUSERO NORTH,2,150,1.3%
BOGUSERO SOUTH,12,129,8.5%
BOMARIBA,39,145,21.2%
BOMORENDA,6,217,2.7%
BOOCHI BORABU,17,140,10.8%
BOSONGO,27,343,7.3%
CHITAGO,17,136,11.1%
GESUSU,24,158,13.2%
GETENGA,9,131,6.4%
GIONSARIA,15,66,18.5%
IBENO,179,6,96.8%
IKORONGO,20,122,14.1%
IYABE,3,170,1.7%
KEGATI,35,124,22.0%
KEGOGI,6,144,4.0%
KEUMBU,15,266,5.3%
KIOGORO,31,167,15.7%
MAGENCHE,20,301,6.2%
MAJOGE BORABU,24,207,10.4%
MAJOGE CHACHE,10,229,4.2%
MAJOGE MASABA,18,277,6.1%
MOGONGA,,34,-
MOKWERERO,7,86,7.5%
MWAGICHANA,3,160,1.8%
MWAKIBAGENDI,9,116,7.2%
MWAMONARI,,71,-
NGENYI,60,192,23.8%
NORTH MASABA,31,180,14.7%
NYACHEKI,13,110,10.6%
NYAKEMBENE,8,167,4.6%
NYAKOE,17,136,11.1%
NYAMAGESA,26,150,14.8%
NYANGITI,,59,-
NYANGURU,,44,-
NYANSAKIA,5,68,6.8%
NYARIBARI CENTRAL,15,73,17.0%
NYARIBARI IRIANYI,34,110,23.6%
NYATIEKO,5,183,2.7%
OTENDO,7,88,7.4%
RAMASHA,11,89,11.0%
RIANA,6,177,3.3%
RIGENA,34,66,34.0%
SENGERA,21,250,7.7%
SENSI,4,50,7.4%
SOUTH MUGIRANGO BORABU,43,150,22.3%
SOUTH MUGIRANGO CENTRAL,3,195,1.5%
SOUTH MUGIRANGO CHACHE,26,260,9.1%
TENDERE,7,255,2.7%
TOWNSHIP,48,420,10.3%
Total,1235,8907,12.2%
