LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,23,74,23.7%
BASSI BOITANGARE,42,111,27.5%
BASSI BORABU,35,129,21.3%
BASSI CENTRAL,41,186,18.1%
BASSI CHACHE,43,141,23.4%
BASSI MASIGE EAST,25,154,14.0%
BASSI MASIGE WEST,42,157,21.1%
BOGEKA,6,138,4.2%
BOGIAKUMU,57,200,22.2%
BOGUSERO NORTH,18,134,11.8%
BOGUSERO SOUTH,11,130,7.8%
BOMARIBA,49,135,26.6%
BOMORENDA,42,181,18.8%
BOOCHI BORABU,19,138,12.1%
BOSONGO,42,328,11.4%
CHITAGO,25,128,16.3%
GESUSU,27,155,14.8%
GETENGA,22,118,15.7%
GIONSARIA,14,67,17.3%
IBENO,35,150,18.9%
IKORONGO,49,93,34.5%
IYABE,38,135,22.0%
KEGATI,16,143,10.1%
KEGOGI,27,123,18.0%
KEUMBU,61,220,21.7%
KIOGORO,33,165,16.7%
MAGENCHE,96,225,29.9%
MAJOGE BORABU,48,183,20.8%
MAJOGE CHACHE,32,207,13.4%
MAJOGE MASABA,47,248,15.9%
MOGONGA,7,27,20.6%
MOKWERERO,11,82,11.8%
MWAGICHANA,20,143,12.3%
MWAKIBAGENDI,13,112,10.4%
MWAMONARI,10,61,14.1%
NGENYI,39,213,15.5%
NORTH MASABA,31,180,14.7%
NYACHEKI,17,106,13.8%
NYAKEMBENE,32,143,18.3%
NYAKOE,28,125,18.3%
NYAMAGESA,33,143,18.8%
NYANGITI,7,52,11.9%
NYANGURU,,44,-
NYANSAKIA,8,65,11.0%
NYARIBARI CENTRAL,16,72,18.2%
NYARIBARI IRIANYI,23,121,16.0%
NYATIEKO,36,152,19.1%
OTENDO,22,73,23.2%
RAMASHA,13,87,13.0%
RIANA,39,144,21.3%
RIGENA,9,91,9.0%
SENGERA,50,221,18.5%
SENSI,2,52,3.7%
SOUTH MUGIRANGO BORABU,26,167,13.5%
SOUTH MUGIRANGO CENTRAL,35,163,17.7%
SOUTH MUGIRANGO CHACHE,24,262,8.4%
TENDERE,77,185,29.4%
TOWNSHIP,93,376,19.8%
Total,1786,8358,17.6%
