LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,14,83,14.4%
BASSI BOITANGARE,27,126,17.6%
BASSI BORABU,12,152,7.3%
BASSI CENTRAL,23,204,10.1%
BASSI CHACHE,29,155,15.8%
BASSI MASIGE EAST,13,166,7.3%
BASSI MASIGE WEST,27,172,13.6%
BOGEKA,3,140,2.1%
BOGIAKUMU,32,225,12.5%
BOGUSERO NORTH,10,142,6.6%
BOGUSERO SOUTH,7,134,5.0%
BOMARIBA,28,156,15.2%
BOMORENDA,21,202,9.4%
BOOCHI BORABU,12,145,7.6%
BOSONGO,18,352,4.9%
CHITAGO,11,142,7.2%
GESUSU,15,167,8.2%
GETENGA,13,127,9.3%
GIONSARIA,9,72,11.1%
IBENO,17,168,9.2%
IKORONGO,28,114,19.7%
IYABE,23,150,13.3%
KEGATI,8,151,5.0%
KEGOGI,14,136,9.3%
KEUMBU,32,249,11.4%
KIOGORO,13,185,6.6%
MAGENCHE,53,268,16.5%
MAJOGE BORABU,29,202,12.6%
MAJOGE CHACHE,19,220,7.9%
MAJOGE MASABA,23,272,7.8%
MOGONGA,3,31,8.8%
MOKWERERO,5,88,5.4%
MWAGICHANA,11,152,6.7%
MWAKIBAGENDI,5,120,4.0%
MWAMONARI,4,67,5.6%
NGENYI,22,230,8.7%
NORTH MASABA,20,191,9.5%
NYACHEKI,8,115,6.5%
NYAKEMBENE,18,157,10.3%
NYAKOE,16,137,10.5%
NYAMAGESA,16,160,9.1%
NYANGITI,6,53,10.2%
NYANGURU,,44,-
NYANSAKIA,3,70,4.1%
NYARIBARI CENTRAL,11,77,12.5%
NYARIBARI IRIANYI,6,138,4.2%
NYATIEKO,21,167,11.2%
OTENDO,12,83,12.6%
RAMASHA,9,91,9.0%
RIANA,24,159,13.1%
RIGENA,7,93,7.0%
SENGERA,34,237,12.5%
SENSI,2,52,3.7%
SOUTH MUGIRANGO BORABU,15,178,7.8%
SOUTH MUGIRANGO CENTRAL,23,175,11.6%
SOUTH MUGIRANGO CHACHE,14,272,4.9%
TENDERE,49,213,18.7%
TOWNSHIP,56,412,12.0%
Total,1003,9139,9.9%
