LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,5,18,21.7%
BASSI BOITANGARE,9,11,45.0%
BASSI BORABU,1,39,2.5%
BASSI CENTRAL,2,59,3.3%
BASSI CHACHE,7,65,9.7%
BASSI MASIGE EAST,4,75,5.1%
BASSI MASIGE WEST,5,62,7.5%
BOGEKA,4,32,11.1%
BOGIAKUMU,12,90,11.8%
BOGUSERO NORTH,7,43,14.0%
BOGUSERO SOUTH,9,27,25.0%
BOMARIBA,4,41,8.9%
BOMORENDA,1,52,1.9%
BOOCHI BORABU,2,82,2.4%
BOSONGO,5,117,4.1%
CHITAGO,6,64,8.6%
GESUSU,5,67,6.9%
GETENGA,5,43,10.4%
GIONSARIA,1,19,5.0%
IBENO,2,52,3.7%
IKORONGO,,67,-
IYABE,7,45,13.5%
KEGATI,,73,-
KEGOGI,2,36,5.3%
KEUMBU,6,112,5.1%
KIOGORO,2,59,3.3%
MAGENCHE,3,106,2.8%
MAJOGE BORABU,6,120,4.8%
MAJOGE CHACHE,3,90,3.2%
MAJOGE MASABA,7,119,5.6%
MOGONGA,1,8,11.1%
MOKWERERO,1,34,2.9%
MWAGICHANA,2,53,3.6%
MWAKIBAGENDI,4,36,10.0%
MWAMONARI,4,24,14.3%
NGENYI,5,79,6.0%
NORTH MASABA,4,80,4.8%
NYACHEKI,,19,-
NYAKEMBENE,5,56,8.2%
NYAKOE,2,34,5.6%
NYAMAGESA,1,66,1.5%
NYANGITI,,1,-
NYANGURU,2,19,9.5%
NYANSAKIA,3,37,7.5%
NYARIBARI CENTRAL,1,21,4.5%
NYARIBARI IRIANYI,,54,-
NYATIEKO,4,71,5.3%
OTENDO,2,28,6.7%
RAMASHA,1,38,2.6%
RIANA,6,59,9.2%
RIGENA,2,13,13.3%
SENGERA,7,100,6.5%
SENSI,1,19,5.0%
SOUTH MUGIRANGO BORABU,4,86,4.4%
SOUTH MUGIRANGO CENTRAL,5,76,6.2%
SOUTH MUGIRANGO CHACHE,3,124,2.4%
TENDERE,3,23,11.5%
TOWNSHIP,8,48,14.3%
Total,213,3191,6.3%
