LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,12,11,52.2%
BASSI BOITANGARE,14,6,70.0%
BASSI BORABU,14,26,35.0%
BASSI CENTRAL,17,44,27.9%
BASSI CHACHE,13,59,18.1%
BASSI MASIGE EAST,37,42,46.8%
BASSI MASIGE WEST,21,46,31.3%
BOGEKA,11,25,30.6%
BOGIAKUMU,25,77,24.5%
BOGUSERO NORTH,11,39,22.0%
BOGUSERO SOUTH,8,28,22.2%
BOMARIBA,8,37,17.8%
BOMORENDA,11,42,20.8%
BOOCHI BORABU,9,75,10.7%
BOSONGO,43,79,35.2%
CHITAGO,26,44,37.1%
GESUSU,23,49,31.9%
GETENGA,12,36,25.0%
GIONSARIA,9,11,45.0%
IBENO,19,35,35.2%
IKORONGO,27,40,40.3%
IYABE,9,43,17.3%
KEGATI,12,61,16.4%
KEGOGI,10,28,26.3%
KEUMBU,26,92,22.0%
KIOGORO,17,44,27.9%
MAGENCHE,31,78,28.4%
MAJOGE BORABU,42,84,33.3%
MAJOGE CHACHE,40,53,43.0%
MAJOGE MASABA,38,88,30.2%
MOGONGA,4,5,44.4%
MOKWERERO,14,21,40.0%
MWAGICHANA,11,44,20.0%
MWAKIBAGENDI,5,35,12.5%
MWAMONARI,5,23,17.9%
NGENYI,28,56,33.3%
NORTH MASABA,22,62,26.2%
NYACHEKI,9,10,47.4%
NYAKEMBENE,20,41,32.8%
NYAKOE,12,24,33.3%
NYAMAGESA,18,49,26.9%
NYANGITI,,1,-
NYANGURU,9,12,42.9%
NYANSAKIA,10,30,25.0%
NYARIBARI CENTRAL,,22,-
NYARIBARI IRIANYI,20,34,37.0%
NYATIEKO,16,59,21.3%
OTENDO,9,21,30.0%
RAMASHA,8,31,20.5%
RIANA,21,44,32.3%
RIGENA,4,11,26.7%
SENGERA,30,77,28.0%
SENSI,4,16,20.0%
SOUTH MUGIRANGO BORABU,28,62,31.1%
SOUTH MUGIRANGO CENTRAL,18,63,22.2%
SOUTH MUGIRANGO CHACHE,24,103,18.9%
TENDERE,11,15,42.3%
TOWNSHIP,17,39,30.4%
Total,972,2432,28.6%
