LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,4,19,17.4%
BASSI BOITANGARE,,20,-
BASSI BORABU,1,39,2.5%
BASSI CENTRAL,1,60,1.6%
BASSI CHACHE,1,71,1.4%
BASSI MASIGE EAST,8,71,10.1%
BASSI MASIGE WEST,2,65,3.0%
BOGEKA,,36,-
BOGIAKUMU,1,101,1.0%
BOGUSERO NORTH,,50,-
BOGUSERO SOUTH,1,35,2.8%
BOMARIBA,,45,-
BOMORENDA,,53,-
BOOCHI BORABU,4,80,4.8%
BOSONGO,4,118,3.3%
CHITAGO,3,67,4.3%
GESUSU,6,66,8.3%
GETENGA,,48,-
GIONSARIA,,20,-
IBENO,4,50,7.4%
IKORONGO,3,64,4.5%
IYABE,4,48,7.7%
KEGATI,3,70,4.1%
KEGOGI,2,36,5.3%
KEUMBU,,118,-
KIOGORO,1,60,1.6%
MAGENCHE,6,103,5.5%
MAJOGE BORABU,9,117,7.1%
MAJOGE CHACHE,3,90,3.2%
MAJOGE MASABA,12,114,9.5%
MOGONGA,1,8,11.1%
MOKWERERO,2,33,5.7%
MWAGICHANA,,55,-
MWAKIBAGENDI,,40,-
MWAMONARI,,28,-
NGENYI,,83,-
NORTH MASABA,6,78,7.1%
NYACHEKI,,19,-
NYAKEMBENE,,61,-
NYAKOE,,36,-
NYAMAGESA,3,64,4.5%
NYANGITI,,1,-
NYANGURU,,21,-
NYANSAKIA,1,39,2.5%
NYARIBARI CENTRAL,1,21,4.5%
NYARIBARI IRIANYI,4,50,7.4%
NYATIEKO,4,71,5.3%
OTENDO,,30,-
RAMASHA,2,37,5.1%
RIANA,3,62,4.6%
RIGENA,2,13,13.3%
SENGERA,7,100,6.5%
SENSI,,20,-
SOUTH MUGIRANGO BORABU,6,84,6.7%
SOUTH MUGIRANGO CENTRAL,2,79,2.5%
SOUTH MUGIRANGO CHACHE,3,124,2.4%
TENDERE,1,25,3.8%
TOWNSHIP,2,54,3.6%
Total,133,3270,3.9%
