LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,48,49,49.5%
BASSI BOITANGARE,8,145,5.2%
BASSI BORABU,5,159,3.0%
BASSI CENTRAL,6,221,2.6%
BASSI CHACHE,19,165,10.3%
BASSI MASIGE EAST,8,171,4.5%
BASSI MASIGE WEST,15,184,7.5%
BOGEKA,5,138,3.5%
BOGIAKUMU,8,249,3.1%
BOGUSERO NORTH,25,127,16.4%
BOGUSERO SOUTH,11,130,7.8%
BOMARIBA,15,169,8.2%
BOMORENDA,12,211,5.4%
BOOCHI BORABU,27,130,17.2%
BOSONGO,6,364,1.6%
CHITAGO,16,137,10.5%
GESUSU,37,145,20.3%
GETENGA,14,126,10.0%
GIONSARIA,5,76,6.2%
IBENO,99,86,53.5%
IKORONGO,5,137,3.5%
IYABE,18,155,10.4%
KEGATI,7,152,4.4%
KEGOGI,3,147,2.0%
KEUMBU,40,241,14.2%
KIOGORO,25,173,12.6%
MAGENCHE,44,277,13.7%
MAJOGE BORABU,38,193,16.5%
MAJOGE CHACHE,20,219,8.4%
MAJOGE MASABA,19,276,6.4%
MOGONGA,1,33,2.9%
MOKWERERO,10,83,10.8%
MWAGICHANA,13,150,8.0%
MWAKIBAGENDI,1,124,0.8%
MWAMONARI,,71,-
NGENYI,23,229,9.1%
NORTH MASABA,19,192,9.0%
NYACHEKI,7,116,5.7%
NYAKEMBENE,14,161,8.0%
NYAKOE,13,140,8.5%
NYAMAGESA,5,171,2.8%
NYANGITI,2,57,3.4%
NYANGURU,,44,-
NYANSAKIA,3,70,4.1%
NYARIBARI CENTRAL,9,79,10.2%
NYARIBARI IRIANYI,4,140,2.8%
NYATIEKO,8,180,4.3%
OTENDO,5,90,5.3%
RAMASHA,12,88,12.0%
RIANA,25,158,13.7%
RIGENA,1,99,1.0%
SENGERA,9,262,3.3%
SENSI,3,51,5.6%
SOUTH MUGIRANGO BORABU,14,179,7.3%
SOUTH MUGIRANGO CENTRAL,4,194,2.0%
SOUTH MUGIRANGO CHACHE,9,277,3.1%
TENDERE,23,239,8.8%
TOWNSHIP,16,452,3.4%
Total,861,9281,8.5%
