LocationName,FALSE,TRUE,Total
BASSI BOGETAORIO,44,53,45.4%
BASSI BOITANGARE,97,56,63.4%
BASSI BORABU,22,142,13.4%
BASSI CENTRAL,133,94,58.6%
BASSI CHACHE,82,102,44.6%
BASSI MASIGE EAST,49,130,27.4%
BASSI MASIGE WEST,78,121,39.2%
BOGEKA,62,81,43.4%
BOGIAKUMU,169,88,65.8%
BOGUSERO NORTH,94,58,61.8%
BOGUSERO SOUTH,53,88,37.6%
BOMARIBA,66,118,35.9%
BOMORENDA,126,97,56.5%
BOOCHI BORABU,114,43,72.6%
BOSONGO,128,242,34.6%
CHITAGO,92,61,60.1%
GESUSU,40,142,22.0%
GETENGA,104,36,74.3%
GIONSARIA,78,3,96.3%
IBENO,70,115,37.8%
IKORONGO,110,32,77.5%
IYABE,72,101,41.6%
KEGATI,30,129,18.9%
KEGOGI,102,48,68.0%
KEUMBU,242,39,86.1%
KIOGORO,111,87,56.1%
MAGENCHE,146,175,45.5%
MAJOGE BORABU,103,128,44.6%
MAJOGE CHACHE,131,108,54.8%
MAJOGE MASABA,122,173,41.4%
MOGONGA,14,20,41.2%
MOKWERERO,12,81,12.9%
MWAGICHANA,78,85,47.9%
MWAKIBAGENDI,64,61,51.2%
MWAMONARI,38,33,53.5%
NGENYI,114,138,45.2%
NORTH MASABA,74,137,35.1%
NYACHEKI,62,61,50.4%
NYAKEMBENE,115,60,65.7%
NYAKOE,41,112,26.8%
NYAMAGESA,104,72,59.1%
NYANGITI,15,44,25.4%
NYANGURU,12,32,27.3%
NYANSAKIA,20,53,27.4%
NYARIBARI CENTRAL,46,42,52.3%
NYARIBARI IRIANYI,70,74,48.6%
NYATIEKO,110,78,58.5%
OTENDO,59,36,62.1%
RAMASHA,14,86,14.0%
RIANA,95,88,51.9%
RIGENA,55,45,55.0%
SENGERA,104,167,38.4%
SENSI,18,36,33.3%
SOUTH MUGIRANGO BORABU,88,105,45.6%
SOUTH MUGIRANGO CENTRAL,154,44,77.8%
SOUTH MUGIRANGO CHACHE,58,228,20.3%
TENDERE,69,193,26.3%
TOWNSHIP,264,204,56.4%
Total,4837,5305,47.7%
